company,ticker,sector,filing_date,ai_mention_count,sentiment,theme,sentiment_reason
Sysco,SYY,Consumer Goods,2025-08-22,20,neutral,operational_efficiency,"The discussion about artificial intelligence is factual and acknowledges both the potential benefits in operations as well as the inherent risks, without a strong positive or negative connotation."
Northrop Grumman,NOC,Industrials,2026-01-27,16,positive,operational_efficiency,"The company emphasizes the need to integrate artificial intelligence into its operations to enhance performance, drive efficiencies, and meet evolving customer requirements, framing AI as a crucial strategic asset."
Target,TGT,Retail,2025-03-12,15,negative,risk_and_regulation,"The discussion primarily frames artificial intelligence as a potential risk that could adversely affect their competitive position and reputation, highlighting ethical issues and dependency on third-party technologies."
HCA Healthcare,HCA,Healthcare,2026-02-10,14,positive,operational_efficiency,"The company frames AI as a crucial part of their strategy to drive operational excellence and improve care delivery, suggesting it is viewed as a strategic asset for growth."
Capital One,COF,Financials,2026-02-19,14,neutral,risk_and_regulation,The discussion on AI highlights its potential uses and benefits while also emphasizing significant risks and regulatory concerns associated with its implementation.
Citigroup,C,Financials,2026-02-20,13,negative,risk_and_regulation,"The company predominantly discusses the risks and regulatory concerns associated with AI, emphasizing potential adverse consequences and the need for careful management and oversight."
FedEx,FDX,Industrials,2025-07-21,13,positive,operational_efficiency,"The company discusses leveraging artificial intelligence as a means to improve operational efficiency and drive their transformational initiatives, framing it as a strategic asset."
Progressive,PGR,Financials,2025-03-03,13,negative,risk_and_regulation,"The company's discussion primarily focuses on the risks and regulatory concerns associated with artificial intelligence, indicating a cautious and negative perspective on its implications for the business."
Dell Technologies,DELL,Technology,2025-03-25,10,positive,competitive_positioning,"The company frames AI as a crucial element of their strategic focus and a driver for growth, emphasizing their leadership and innovative capabilities in the AI space."
Amazon,AMZN,Technology,2026-02-06,10,neutral,competitive_positioning,The discussion of artificial intelligence primarily highlights its role in a competitive market context without expressing a strong positive or negative view on its impact.
AT&T,T,Telecommunications,2026-02-09,10,neutral,competitive_positioning,"The company's discussion of AI is factual, highlighting its expected role in driving demand for broadband and improving operational efficiency, without strong positive or negative sentiments."
Lowe's,LOW,Retail,2025-03-24,10,positive,competitive_positioning,"The company frames AI as a crucial element for maintaining competitiveness and enhancing customer experience, highlighting its strategic implementation as essential for operational efficiency and market position."
Cisco Systems,CSCO,Technology,2025-09-03,9,positive,competitive_positioning,"The company frames AI as a key component in their product offerings and innovation strategy, highlighting its role in enhancing security, operational efficiency, and overall competitive advantage."
Nvidia,NVDA,Technology,2025-02-26,9,positive,competitive_positioning,"The discussion frames AI as a key driver of innovation and competitive advantage through NVIDIA's technology, emphasizing its pivotal role in enabling and transforming various industries."
Bristol-Myers Squibb,BMY,Healthcare,2026-02-11,9,neutral,risk_and_regulation,"The discussion primarily highlights the regulatory concerns and potential cybersecurity risks associated with artificial intelligence, without framing AI explicitly as a strategic asset or disadvantage."
Tesla,TSLA,Technology,2026-01-29,9,positive,competitive_positioning,"The company frames AI as a strategic asset for developing innovative products like autonomous vehicles and robots, positioning itself to lead in competitive markets."
Salesforce,CRM,Technology,2025-03-05,9,positive,competitive_positioning,"The company frames AI as a key strategic asset that enhances productivity, customer engagement, and overall business growth, positioning it as central to their competitive advantage."
Raytheon Technologies,RTX,Industrials,2026-02-06,9,negative,risk_and_regulation,"The discussion primarily highlights the risks and compliance concerns associated with AI, including potential liabilities, regulatory challenges, and cybersecurity threats, framing AI as a significant challenge rather than a strategic asset."
Cigna Group,CI,Healthcare,2025-02-27,9,positive,product_innovation,"The company frames AI as a means to support health care transformation and enhance solutions, viewing it as a strategic asset rather than a threat."
Apple,AAPL,Technology,2025-10-31,9,negative,risk_and_regulation,"The company primarily frames AI as a source of risks and regulatory concerns, emphasizing potential legal liabilities, compliance challenges, and technical failures associated with its deployment."
Alphabet,GOOGL,Technology,2026-02-05,9,positive,competitive_positioning,"The company frames AI as a strategic asset, emphasizing its role in enhancing products, supporting innovation, and driving smarter business outcomes."
Microsoft,MSFT,Technology,2025-07-30,9,positive,competitive_positioning,"The company frames AI as a strategic asset that enhances productivity, supports growth, and solidifies its market position through innovative solutions and improvements to core services."
American International Group,AIG,Financials,2026-02-12,8,negative,risk_and_regulation,"The company discusses various regulations and risks associated with the use of AI, emphasizing potential threats and compliance challenges rather than opportunities or strategic advantages."
Coca-Cola,KO,Consumer Goods,2026-02-20,8,neutral,data_and_analytics,"The discussion mentions artificial intelligence in relation to data analytics and operational success without strong positive or negative framing, focusing on its necessity for adapting to market changes and consumer preferences."
Danaher,DHR,Healthcare,2025-02-20,8,negative,risk_and_regulation,"The company primarily frames artificial intelligence in terms of risks and regulatory concerns, highlighting uncertainties and potential harms associated with its development and deployment."
General Electric,GE,Industrials,2026-01-29,8,negative,risk_and_regulation,"The company frames AI primarily as a risk involving business, reputational, legal, and compliance issues, highlighting cybersecurity threats and competitive challenges rather than as a strategic asset."
Honeywell,HON,Industrials,2026-02-17,8,positive,competitive_positioning,"The company frames artificial intelligence as a critical component for developing new technologies and maintaining a competitive edge in the market, highlighting its strategic importance for future growth."
JPMorgan Chase,JPM,Financials,2026-02-13,7,negative,risk_and_regulation,"The discussion primarily frames artificial intelligence as a risk and regulatory concern, highlighting cybersecurity threats and the potential impact on compliance and income rather than showcasing it as a strategic advantage."
Broadcom,AVGO,Technology,2025-12-18,7,positive,operational_efficiency,"The company describes artificial intelligence as a critical component for enhancing operational agility, optimizing performance, and supporting advanced workloads, suggesting a strategic asset and growth driver."
Starbucks,SBUX,Consumer Goods,2025-11-14,7,negative,risk_and_regulation,"The company frames artificial intelligence primarily as a source of risks and regulatory concerns, highlighting uncertainties in the legal landscape and potential negative impacts on operations and financial performance."
Ford Motor,F,Industrials,2026-02-11,7,negative,risk_and_regulation,"The discussion primarily frames artificial intelligence in the context of regulatory risks, compliance costs, and potential negative impacts on consumer engagement and business operations."
3M,MMM,Industrials,2026-02-03,7,negative,risk_and_regulation,"The company frames its use of artificial intelligence primarily as a risk to its business, reputation, and financial condition, emphasizing potential adverse effects rather than highlighting AI as a strategic asset or growth driver."
Philip Morris,PM,Consumer Goods,2026-02-06,7,negative,risk_and_regulation,"The company discusses various risks associated with artificial intelligence, particularly focusing on compliance with evolving laws and potential legal liabilities, indicating a primarily negative framing toward AI."
Bank of America,BAC,Financials,2025-02-25,7,negative,risk_and_regulation,"The discussion primarily frames AI as a source of cybersecurity risks and regulatory concerns, emphasizing the potential for operational losses and increased vulnerabilities rather than highlighting any strategic advantages or growth potential."
Meta Platforms,META,Technology,2026-01-29,7,positive,product_innovation,"The company frames AI as a key investment for transforming user experiences and driving future growth, indicating a strategic advantage rather than a concern."
Intel,INTC,Technology,2026-01-23,6,positive,competitive_positioning,The company discusses AI as a significant growth driver and a strategic asset that supports their market position and product innovation in the semiconductor industry.
Albertsons,ACI,Retail,2025-04-21,6,negative,risk_and_regulation,"The company highlights the risks and uncertainties associated with AI, including potential cyber threats and regulatory concerns, framing it primarily as a threat to their operations and competitive position."
Oracle,ORCL,Technology,2025-06-18,6,positive,investment_and_capex,"The company frames AI as a crucial element of their investments and product innovation, emphasizing its role in enhancing productivity, agility, and competitive advantage through significant research and development expenditures."
IBM,IBM,Technology,2025-02-25,6,positive,competitive_positioning,"AI is framed as a strategic asset that supports clients' digital transformations and drives revenue growth, highlighting IBM's commitment to maintaining market leadership through innovation in AI technologies."
CVS Health,CVS,Healthcare,2026-02-10,6,positive,operational_efficiency,"The company describes its investments in AI as aimed at enhancing operational capabilities and improving the experience for providers and members, framing AI as a strategic asset."
Merck,MRK,Healthcare,2025-02-25,6,negative,risk_and_regulation,"The discussion frames AI primarily as a source of risks and challenges, including operational disruptions, data loss, and regulatory concerns, rather than as a strategic asset or growth driver."
Lockheed Martin,LMT,Industrials,2026-01-29,6,positive,competitive_positioning,The company frames artificial intelligence as a key differentiating technology that enhances their capability and competitive advantage in the defense industry.
US Foods,USFD,Consumer Goods,2026-02-12,6,positive,operational_efficiency,"The company frames AI as a transformative technology that drives efficiency, reduces waste, and improves profitability, indicating a strategic asset for growth and competitive advantage."
Archer Daniels Midland,ADM,Consumer Goods,2026-02-17,6,negative,risk_and_regulation,"The company frames AI primarily as a source of risk and regulatory concern, highlighting various threats, compliance issues, and potential legal challenges associated with its use."
Procter & Gamble,PG,Consumer Goods,2025-08-04,6,negative,risk_and_regulation,"The company primarily discusses artificial intelligence in the context of potential risks, cybersecurity incidents, and the adverse impact it could have on operations and reputation."
Walt Disney,DIS,Media,2025-11-13,5,negative,risk_and_regulation,The company frames AI primarily as a risk with concerns about regulatory uncertainties and increased competition affecting their business models and revenue streams.
Kroger,KR,Retail,2025-04-01,5,negative,risk_and_regulation,"The discussion frames AI primarily as a source of competitive, legal, and security risks, emphasizing the challenges and concerns associated with its rapid evolution and potential negative impacts on the company."
Marathon Petroleum,MPC,Energy,2025-02-27,5,negative,risk_and_regulation,"The company frames artificial intelligence primarily as a source of risks and regulatory concerns, highlighting potential liabilities and compliance issues associated with its integration into business processes."
Cardinal Health,CAH,Healthcare,2025-08-12,5,negative,risk_and_regulation,"The company primarily frames AI as a source of risk, particularly concerning cybersecurity threats and the potential negative impact on business operations if AI implementations are not managed effectively."
Dollar General,DG,Retail,2025-03-21,5,negative,risk_and_regulation,"The discussion primarily frames artificial intelligence as a risk that could disrupt operations and lead to vulnerabilities, highlighting potential regulatory concerns and negative impacts on profitability."
Home Depot,HD,Retail,2025-03-21,5,negative,risk_and_regulation,"The discussion primarily frames artificial intelligence as a potential risk, highlighting concerns related to regulations, implementation challenges, and security vulnerabilities."
Deere & Company,DE,Industrials,2025-12-18,5,positive,operational_efficiency,"The company frames AI as a means to optimize jobs, strengthen decision-making, and enhance customer productivity and safety, highlighting its role as a strategic asset in their operations."
General Motors,GM,Industrials,2026-01-27,4,neutral,risk_and_regulation,The discussion about AI includes factual mentions of its role in technology development alongside significant risks and regulatory concerns without a strong positive or negative framing.
Goldman Sachs,GS,Financials,2025-02-27,4,neutral,risk_and_regulation,"The mention of AI discusses challenges, regulations, and compliance requirements, indicating a factual acknowledgement without strong positive or negative framing."
Humana,HUM,Healthcare,2026-02-19,4,negative,risk_and_regulation,"The company highlights AI primarily as a source of potential risks and regulatory challenges, indicating concerns about compliance costs, cybersecurity threats, and operational impacts."
American Express,AXP,Financials,2026-02-06,4,neutral,competitive_positioning,"The discussion frames AI in a factual manner regarding its potential use in improving customer experience and addressing competitive factors, without exhibiting a strong positive or negative sentiment toward it."
Fannie Mae,FNMA,Financials,2026-02-11,4,neutral,risk_and_regulation,"The discussion of artificial intelligence is framed factually, mentioning its potential benefits and risks, without strong positive or negative emphasis."
UnitedHealth Group,UNH,Healthcare,2025-02-27,4,negative,risk_and_regulation,"The company discusses the potential risks and regulatory concerns associated with AI/ML technologies, emphasizing the negative consequences that could arise from data integrity failures and cybersecurity threats."
Kraft Heinz,KHC,Consumer Goods,2026-02-12,4,negative,risk_and_regulation,"The discussion highlights potential risks and cybersecurity threats associated with the adoption of artificial intelligence, framing it primarily as a concern rather than a strategic asset."
McKesson,MCK,Healthcare,2025-05-09,4,neutral,investment_and_capex,"The company discusses its investment in AI as part of a broader strategy to improve efficiency and competitiveness, without strong positive or negative framing."
Thermo Fisher Scientific,TMO,Healthcare,2025-02-20,4,neutral,competitive_positioning,AI is mentioned in the context of technological innovation and competition without a strong emphasis on its benefits or risks.
Best Buy,BBY,Retail,2025-03-19,4,positive,competitive_positioning,"The company discusses leveraging AI for innovative customer experiences and enhancing personalization, framing it as a strategic initiative that will drive customer engagement and sales conversion."
TJX Companies,TJX,Retail,2025-04-02,4,negative,risk_and_regulation,"The company's discussion primarily focuses on the risks and threats posed by the use and sophistication of artificial intelligence in the context of cybersecurity, indicating concerns rather than a strategic emphasis on AI as a growth driver or asset."
TD Synnex,SNX,Technology,2026-01-27,3,neutral,risk_and_regulation,The discussion of AI acknowledges its integration in products and services but emphasizes potential operating risks and external challenges without a strong positive or negative framing.
Cencora,COR,Healthcare,2025-11-25,3,negative,risk_and_regulation,"The discussion primarily highlights the risks and regulatory concerns associated with AI, framing it as a potential threat to operations and compliance."
Verizon,VZ,Telecommunications,2026-02-17,3,positive,customer_experience,"The discussion emphasizes leveraging AI technologies to enhance customer experience by offering choice and convenience, framing AI as a strategic asset in improving service delivery."
Johnson & Johnson,JNJ,Healthcare,2026-02-11,3,negative,risk_and_regulation,"The company primarily frames AI as a source of risks and regulatory concerns, emphasizing compliance challenges and potential liabilities rather than as a strategic asset."
Morgan Stanley,MS,Financials,2026-02-19,3,negative,risk_and_regulation,"The discussion emphasizes risks and uncertainties associated with new technologies like generative artificial intelligence, highlighting regulatory concerns and potential threats to the business."
Dow,DOW,Industrials,2026-02-03,2,positive,investment_and_capex,"The company discusses targeted investments in AI applications aimed at addressing market needs and enhancing competitiveness, positioning AI as a key focus for growth and innovation."
Nike,NKE,Consumer Goods,2025-07-17,2,negative,risk_and_regulation,"The company frames AI primarily as a risk factor, discussing potential liabilities related to intellectual property and regulatory concerns regarding new technological developments."
Costco,COST,Retail,2025-10-08,2,negative,risk_and_regulation,The company discusses various laws and regulations concerning artificial intelligence as potential risks that may impair their ability to utilize data and compliance could involve significant penalties.
Chevron,CVX,Energy,2025-02-21,2,positive,operational_efficiency,"The company frames AI as a tool to drive productivity, efficiency, and value in its operations, indicating its strategic importance and potential for growth."
General Dynamics,GD,Industrials,2026-01-30,2,positive,product_innovation,"The excerpt highlights GDIT's commitment to developing advanced technologies, including AI/ML, as part of their strategic focus on modernization, indicating AI is seen as a growth driver and a competitive asset."
Phillips 66,PSX,Energy,2026-02-20,2,negative,risk_and_regulation,"The discussion primarily highlights the risks and regulatory concerns associated with artificial intelligence, particularly in relation to cybersecurity threats and potential impacts on operations and profitability."
Valero Energy,VLO,Energy,2025-02-26,2,negative,risk_and_regulation,"The company discusses AI primarily in the context of potential risks and regulatory concerns, focusing on its negative implications for electricity supply reliability and connected operational challenges."
Comcast,CMCSA,Telecommunications,2026-02-03,2,negative,risk_and_regulation,The discussion primarily frames AI as a source of regulatory concern and legal uncertainty that could negatively impact the company's operations and intellectual property rights.
Elevance Health,ELV,Healthcare,2026-02-06,2,negative,risk_and_regulation,"The discussion primarily frames AI as associated with risks, threats, and regulatory concerns without highlighting any strategic benefits or opportunities it may provide."
Walmart,WMT,Retail,2025-03-14,2,positive,investment_and_capex,"The company frames its investments in artificial intelligence, along with technology and automation, as a key focus for future growth and competitive positioning."
Freddie Mac,FMCC,Financials,2026-02-12,2,neutral,customer_experience,The mention of AI focuses on its role in enhancing efficiency and customer experience without expressing a strong positive or negative opinion.
AbbVie,ABBV,Healthcare,2026-02-20,2,positive,talent_and_workforce,The company frames its investment in AI skills as a commitment to employee development and recognizes the opportunities AI presents in evolving work contexts.
PepsiCo,PEP,Consumer Goods,2026-02-03,2,positive,investment_and_capex,Artificial intelligence is framed as part of the company's broader strategy for innovation and investment to enhance consumer insights and drive growth.
UPS,UPS,Industrials,2026-02-17,2,positive,operational_efficiency,"The company frames AI as a tool to optimize operations and improve customer experience, highlighting its significance in enhancing efficiency and decision-making."
World Kinect,WKC,Energy,2025-02-25,2,negative,risk_and_regulation,"The passage discusses the threats posed by AI in the context of increased cybersecurity risks and its potential to enable more automated attacks, framing AI primarily as a concern."
Abbott Laboratories,ABT,Healthcare,2026-02-20,1,negative,competitive_positioning,The discussion frames AI as a disruptive technology that could adversely impact Abbott's competitive position and demand for its products.
Caterpillar,CAT,Industrials,2026-02-13,1,positive,competitive_positioning,"The discussion frames AI as a driver of growth and increased demand in Power Generation related to data centers, positioning it as a strategic asset for the company's future."
Pfizer,PFE,Healthcare,2025-02-27,1,neutral,data_and_analytics,"AI is mentioned factually and without any strong positive or negative framing, focusing on definitions rather than its strategic implications."
ConocoPhillips,COP,Energy,2026-02-17,1,negative,risk_and_regulation,"The text primarily discusses the risks and threats associated with the increasing sophistication of generative artificial intelligence, framing it as a potential cybersecurity concern."
Tyson Foods,TSN,Consumer Goods,2025-11-10,1,negative,risk_and_regulation,The passage frames AI primarily as a potential risk or threat related to cyber-security vulnerabilities and regulatory concerns.
ExxonMobil,XOM,Energy,2026-02-18,1,neutral,data_and_analytics,AI is mentioned factually as a factor affecting demand without a strong positive or negative framing.
Plains All American Pipeline,PAA,Energy,2025-02-28,1,negative,risk_and_regulation,"The company frames AI primarily as a risk related to cybersecurity and competitive disadvantage, indicating concerns over regulation and vulnerability."
