ticker,period_end,revenue,type,industry
PLD,2025-12-31,2252712000.0,historical,Real Estate
PLD,2025-09-30,2213881000.0,historical,Real Estate
PLD,2025-06-30,2183869000.0,historical,Real Estate
PLD,2025-03-31,2139665000.0,historical,Real Estate
PLD,2024-12-31,2200646000.0,historical,Real Estate
AMT,2025-12-31,2737500000.0,historical,Real Estate
AMT,2025-09-30,2717400000.0,historical,Real Estate
AMT,2025-06-30,2626900000.0,historical,Real Estate
AMT,2025-03-31,2562800000.0,historical,Real Estate
AMT,2024-12-31,2547600000.0,historical,Real Estate
EQR,2025-12-31,781911000.0,historical,Real Estate
EQR,2025-09-30,782411000.0,historical,Real Estate
EQR,2025-06-30,768827000.0,historical,Real Estate
EQR,2025-03-31,760810000.0,historical,Real Estate
EQR,2024-12-31,766779000.0,historical,Real Estate
SPG,2025-12-31,1791462000.0,historical,Real Estate
SPG,2025-09-30,1601572000.0,historical,Real Estate
SPG,2025-06-30,1498459000.0,historical,Real Estate
SPG,2025-03-31,1473012000.0,historical,Real Estate
SPG,2024-12-31,1582232000.0,historical,Real Estate
O,2025-12-31,1708836000.0,historical,Real Estate
O,2025-09-30,1387631000.0,historical,Real Estate
O,2025-06-30,1339091000.0,historical,Real Estate
O,2025-03-31,1380505000.0,historical,Real Estate
O,2024-12-31,1340299000.0,historical,Real Estate
WELL,2025-12-31,3134347000.0,historical,Real Estate
WELL,2025-09-30,2628061000.0,historical,Real Estate
WELL,2025-06-30,2516141000.0,historical,Real Estate
WELL,2025-03-31,2388587000.0,historical,Real Estate
WELL,2024-12-31,2219235000.0,historical,Real Estate
DLR,2025-12-31,1634671000.0,historical,Real Estate
DLR,2025-09-30,1577234000.0,historical,Real Estate
DLR,2025-06-30,1493150000.0,historical,Real Estate
DLR,2025-03-31,1407637000.0,historical,Real Estate
DLR,2024-12-31,1435862000.0,historical,Real Estate
AMT,2026-03-31,2787146838.4950976,forecast,Real Estate
AMT,2026-06-30,2837694063.6833673,forecast,Real Estate
AMT,2026-09-30,2889158004.8260837,forecast,Real Estate
AMT,2026-12-31,2941555287.3292503,forecast,Real Estate
AMT,2026-03-31,2762323419.247549,forecast_bear,Real Estate
AMT,2026-06-30,2787371935.1683908,forecast_bear,Real Estate
AMT,2026-09-30,2812647588.9201846,forecast_bear,Real Estate
AMT,2026-12-31,2838152440.169636,forecast_bear,Real Estate
AMT,2026-03-31,2811970257.7426467,forecast_bull,Real Estate
AMT,2026-06-30,2888466385.54493,forecast_bull,Real Estate
AMT,2026-09-30,2967043494.663652,forecast_bull,Real Estate
AMT,2026-12-31,3047758195.588308,forecast_bull,Real Estate
DLR,2026-03-31,1688533852.7356508,forecast,Real Estate
DLR,2026-06-30,1744171501.0753236,forecast,Real Estate
DLR,2026-09-30,1801642425.0154552,forecast,Real Estate
DLR,2026-12-31,1861007031.4842236,forecast,Real Estate
DLR,2026-03-31,1661602426.3678253,forecast_bear,Real Estate
DLR,2026-06-30,1688977551.636656,forecast_bear,Real Estate
DLR,2026-09-30,1716803685.8060467,forecast_bear,Real Estate
DLR,2026-12-31,1745088259.308786,forecast_bear,Real Estate
DLR,2026-03-31,1715465279.1034763,forecast_bull,Real Estate
DLR,2026-06-30,1800252848.3160024,forecast_bull,Real Estate
DLR,2026-09-30,1889231077.6255522,forecast_bull,Real Estate
DLR,2026-12-31,1982607092.112039,forecast_bull,Real Estate
EQR,2026-03-31,785740431.5223669,forecast,Real Estate
EQR,2026-06-30,789588617.7953185,forecast,Real Estate
EQR,2026-09-30,793455650.6707833,forecast,Real Estate
EQR,2026-12-31,797341622.4505365,forecast,Real Estate
EQR,2026-03-31,783825715.7611834,forecast_bear,Real Estate
EQR,2026-06-30,785745120.2100128,forecast_bear,Real Estate
EQR,2026-09-30,787669224.8279796,forecast_bear,Real Estate
EQR,2026-12-31,789598041.12469,forecast_bear,Real Estate
EQR,2026-03-31,787655147.2835504,forecast_bull,Real Estate
EQR,2026-06-30,793441492.7559165,forecast_bull,Real Estate
EQR,2026-09-30,799270346.4173563,forecast_bull,Real Estate
EQR,2026-12-31,805142020.5454804,forecast_bull,Real Estate
O,2026-03-31,1815829458.7183113,forecast,Real Estate
O,2026-06-30,1929521980.5465446,forecast,Real Estate
O,2026-09-30,2050333006.5149121,forecast,Real Estate
O,2026-12-31,2178708239.6510024,forecast,Real Estate
O,2026-03-31,1762332729.3591554,forecast_bear,Real Estate
O,2026-06-30,1817504224.4957917,forecast_bear,Real Estate
O,2026-09-30,1874402915.5386846,forecast_bear,Real Estate
O,2026-12-31,1933082873.991447,forecast_bear,Real Estate
O,2026-03-31,1869326188.0774672,forecast_bull,Real Estate
O,2026-06-30,2044889268.1522593,forecast_bull,Real Estate
O,2026-09-30,2236940853.7013407,forecast_bull,Real Estate
O,2026-12-31,2447029509.5634003,forecast_bull,Real Estate
PLD,2026-03-31,2265919849.9070835,forecast,Real Estate
PLD,2026-06-30,2279205138.607572,forecast,Real Estate
PLD,2026-09-30,2292568320.131967,forecast,Real Estate
PLD,2026-12-31,2306009851.1727915,forecast,Real Estate
PLD,2026-03-31,2259315924.9535418,forecast_bear,Real Estate
PLD,2026-06-30,2265939209.605435,forecast_bear,Real Estate
PLD,2026-09-30,2272581910.709492,forecast_bear,Real Estate
PLD,2026-12-31,2279244085.1859016,forecast_bear,Real Estate
PLD,2026-03-31,2272523774.8606257,forecast_bull,Real Estate
PLD,2026-06-30,2292509787.0064116,forecast_bull,Real Estate
PLD,2026-09-30,2312671568.790302,forecast_bull,Real Estate
PLD,2026-12-31,2333010666.0417233,forecast_bull,Real Estate
SPG,2026-03-31,1847957417.9646645,forecast,Real Estate
SPG,2026-06-30,1906234471.4041545,forecast,Real Estate
SPG,2026-09-30,1966349345.8478372,forecast,Real Estate
SPG,2026-12-31,2028359998.68793,forecast,Real Estate
SPG,2026-03-31,1819709708.9823325,forecast_bear,Real Estate
SPG,2026-06-30,1848402826.8333714,forecast_bear,Real Estate
SPG,2026-09-30,1877548376.7442875,forecast_bear,Real Estate
SPG,2026-12-31,1907153492.6476798,forecast_bear,Real Estate
SPG,2026-03-31,1876205126.9469965,forecast_bull,Real Estate
SPG,2026-06-30,1964956933.7123508,forecast_bull,Real Estate
SPG,2026-09-30,2057907046.4576764,forecast_bull,Real Estate
SPG,2026-12-31,2155254061.400266,forecast_bull,Real Estate
WELL,2026-03-31,3416905914.3741364,forecast,Real Estate
WELL,2026-06-30,3724937292.4200644,forecast,Real Estate
WELL,2026-09-30,4060737456.6832905,forecast,Real Estate
WELL,2026-12-31,4426809741.378898,forecast,Real Estate
WELL,2026-03-31,3275626457.187068,forecast_bear,Real Estate
WELL,2026-06-30,3423274030.2920847,forecast_bear,Real Estate
WELL,2026-09-30,3577576759.633237,forecast_bear,Real Estate
WELL,2026-12-31,3738834623.758062,forecast_bear,Real Estate
WELL,2026-03-31,3558185371.5612044,forecast_bull,Real Estate
WELL,2026-06-30,4039336786.383941,forecast_bull,Real Estate
WELL,2026-09-30,4585551333.05929,forecast_bull,Real Estate
WELL,2026-12-31,5205627096.755575,forecast_bull,Real Estate
